match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-511684353,2025-05-12,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Kuwait,Bhutan,"Terdthai Cricket Ground, Bangkok",Bangkok,Bhutan,field,Kuwait,unknown,T20,Kuwait,85,3,13.7,Bhutan,50.0,6.0,13.3,2025,5,Kuwait,Bhutan,85,50.0,completed,1523.702857675065,1290.7382708111286,232.96458686393635,0.2,0.0,0.4,0.0,0.5
6812642225,2025-05-13,2025,Cook Islands tour of Japan,False,,Cook Islands,Japan,Sano International Cricket Ground,Sano,Cook Islands,bat,Japan,unknown,T20,Cook Islands,104,8,21.7,Japan,107.0,8.0,19.5,2025,5,Cook Islands,Japan,104,107.0,completed,1467.9293995251383,1612.0673753999315,-144.13797587479326,0.4,0.6,0.4,0.8,0.0
-148537686,2025-05-13,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Nepal,Hong Kong,"Asian Institute of Technology Ground, Bangkok",Bangkok,Hong Kong,field,Hong Kong,unknown,T20,Nepal,29,3,5.0,Hong Kong,30.0,3.0,4.7,2025,5,Nepal,Hong Kong,29,30.0,completed,1556.8573886268268,1556.1581079945909,0.6992806322359684,0.7,0.5,0.55,0.5,0.6428571428571429
-445351933,2025-05-14,2025,Cook Islands tour of Japan,False,,Japan,Cook Islands,Sano International Cricket Ground,Sano,Cook Islands,field,Japan,unknown,T20,Japan,139,8,22.0,Cook Islands,97.0,10.0,17.5,2025,5,Japan,Cook Islands,139,97.0,completed,1621.7858792280892,1458.2108956969805,163.57498353110873,0.6,0.2,0.8,0.4,1.0
9155601545,2025-05-15,2025,Bulgaria Women tour of Estonia,False,,Bulgaria,Estonia,Estonian National Cricket and Rugby Field,Tallinn,Bulgaria,bat,Estonia,unknown,T20,Bulgaria,87,10,27.2,Estonia,88.0,2.0,16.2,2025,5,Bulgaria,Estonia,87,88.0,completed,1292.1350687444008,1368.7593874922084,-76.62431874780759,0.0,0.4,0.0,0.4,0.0
-274991009,2025-05-15,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Thailand,Bhutan,"Terdthai Cricket Ground, Bangkok",Bangkok,Bhutan,field,Thailand,unknown,T20,Thailand,88,3,10.0,Bhutan,43.0,5.0,9.3,2025,5,Thailand,Bhutan,88,43.0,completed,1606.4244093217255,1284.103483067862,322.3209262538635,0.6,0.0,0.6,0.0,0.6666666666666666
3990368826,2025-05-15,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Bahrain,Nepal,"Terdthai Cricket Ground, Bangkok",Bangkok,Bahrain,bat,Nepal,unknown,T20,Bahrain,76,3,14.0,Nepal,56.0,4.0,6.5,2025,5,Bahrain,Nepal,76,56.0,completed,1519.0575890584832,1540.8251856071188,-21.767596548635538,0.1,0.5,0.5,0.45,0.0
-593577702,2025-05-16,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Kuwait,Bhutan,"Terdthai Cricket Ground, Bangkok",Bangkok,Bhutan,field,Bhutan,unknown,T20,Kuwait,92,3,20.8,Bhutan,96.0,6.0,21.2,2025,5,Kuwait,Bhutan,92,96.0,completed,1530.3376454183315,1279.7759054812354,250.56173993709604,0.2,0.0,0.4,0.0,0.6666666666666666
1313332311,2025-05-16,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Qatar,Malaysia,"Terdthai Cricket Ground, Bangkok",Bangkok,Malaysia,field,Malaysia,unknown,T20,Qatar,39,10,18.0,Malaysia,41.0,0.0,4.7,2025,5,Qatar,Malaysia,39,41.0,completed,1457.5352087047374,1513.914105214783,-56.37889651004548,0.0,0.5,0.1,0.55,0.4
5860019413,2025-05-17,2025,Slovenia tour of Austria,False,,Austria,Slovenia,"Velden Cricket Ground, Latschach",Latschach,Slovenia,field,Austria,unknown,T20,Austria,155,10,23.0,Slovenia,80.0,10.0,20.5,2025,5,Austria,Slovenia,155,80.0,completed,1537.760195798348,1427.5026749647413,110.25752083360658,0.6,0.2,0.8,0.14285714285714285,1.0
-104450714,2025-05-17,2025,Bangladesh tour of United Arab Emirates,False,,Bangladesh,United Arab Emirates,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,field,Bangladesh,unknown,T20,Bangladesh,191,7,21.3,United Arab Emirates,164.0,10.0,20.5,2025,5,Bangladesh,United Arab Emirates,191,164.0,completed,1571.349190156925,1740.1000607957806,-168.75087063885553,0.4,0.8,0.3,0.8,1.0
-582530763,2025-05-18,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,Super Three,Thailand,United Arab Emirates,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,bat,Thailand,unknown,T20,Thailand,144,5,20.3,United Arab Emirates,90.0,5.0,20.2,2025,5,Thailand,United Arab Emirates,144,90.0,completed,1610.7519869083521,1716.8872584730602,-106.13527156470809,0.8,0.6,0.7,0.7,0.5714285714285714
-849886371,2025-05-18,2025,Slovenia tour of Austria,False,,Austria,Slovenia,"Ballpark Ground, Graz",Graz,Austria,bat,Austria,unknown,T20,Austria,244,5,22.0,Slovenia,76.0,10.0,15.2,2025,5,Austria,Slovenia,244,76.0,completed,1548.8465032262093,1416.41636753688,132.4301356893293,0.8,0.2,0.8,0.125,1.0
5092852025,2025-05-18,2025,Slovenia tour of Austria,False,,Slovenia,Austria,"Ballpark Ground, Graz",Graz,Slovenia,bat,Austria,unknown,T20,Slovenia,91,8,21.0,Austria,93.0,5.0,9.7,2025,5,Slovenia,Austria,91,93.0,completed,1406.2358619918605,1559.0270087712288,-152.79114677936832,0.2,0.8,0.125,0.8,0.0
-327854181,2025-05-19,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,Super Three,United Arab Emirates,Nepal,"Terdthai Cricket Ground, Bangkok",Bangkok,Nepal,field,Nepal,unknown,T20,United Arab Emirates,114,7,20.5,Nepal,115.0,5.0,20.2,2025,5,United Arab Emirates,Nepal,114,115.0,completed,1696.146118895795,1555.8240603022346,140.32205859356054,0.4,0.5,0.6,0.55,0.5
2540064794,2025-05-19,2025,Bangladesh tour of United Arab Emirates,False,,Bangladesh,United Arab Emirates,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,field,United Arab Emirates,unknown,T20,Bangladesh,205,5,21.2,United Arab Emirates,206.0,8.0,21.2,2025,5,Bangladesh,United Arab Emirates,205,206.0,completed,1594.5619924796454,1674.0139047677162,-79.45191228807084,0.4,0.4,0.4,0.6,1.0
7289501184,2025-05-20,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,Super Three,Thailand,Nepal,"Terdthai Cricket Ground, Bangkok",Bangkok,Nepal,field,Thailand,unknown,T20,Thailand,158,2,20.8,Nepal,80.0,9.0,20.5,2025,5,Thailand,Nepal,158,80.0,completed,1631.4931264856173,1577.9562744303134,53.536852055303825,1.0,0.6,0.8,0.65,1.0
-391219474,2025-05-21,2025,West Indies Women tour of England,False,,West Indies,England,"St Lawrence Ground, Canterbury",Canterbury,England,field,England,unknown,T20,West Indies,146,7,20.3,England,150.0,2.0,17.3,2025,5,West Indies,England,146,150.0,completed,1699.289167082296,1768.270853979356,-68.98168689705994,0.6,0.2,0.45,0.3,0.41379310344827586
3046621273,2025-05-21,2025,Bangladesh tour of United Arab Emirates,False,,Bangladesh,United Arab Emirates,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,field,United Arab Emirates,unknown,T20,Bangladesh,162,9,21.2,United Arab Emirates,166.0,3.0,20.0,2025,5,Bangladesh,United Arab Emirates,162,166.0,completed,1582.1584141221515,1686.41748312521,-104.25906900305858,0.2,0.4,0.4,0.6,0.75
